Cierre,Cartera,Linea,Tipo,Acreditados,Morosos,MontoMorosos,Saldo
200612,51,ADQUISICION DE SUELO,SUELO,1730,1288,43036547.05,67913299.66
200612,61,ESTUDIOS Y PROYECTOS,ESTUDIOS Y PROYECTOS,65,11,1473658.518,1698534.35
200612,63,ADQUISICION DE VIVIENDA,ADQUISICIÓN,119,74,3788650.63,11561251.24
200612,64,VIVIENDA EN USO,VIVIENDA EN USO,73,37,1067006.661,5688616.09
200612,65,SUSTITUCION DE VIVIENDA DE ALTO RIESGO,SUSTITUCIÓN DE VIVIENDA,1344,792,25019939.91,186306880.4
200612,67,COFINANCIAMIENTO (FOSOVI),COFINANCIAMIENTO,433,318,5231166.682,5378354.379
200612,69,COFINANCIAMIENTO (COPEVI),COFINANCIAMIENTO,138,98,1453676.894,1469318.015
200612,70,COFINANCIAMIENTO (CASA Y CIUDAD),COFINANCIAMIENTO,85,68,1261834.398,1262236.048
200612,80,EDIFICACION,EDIFICACIÓN,3387,1442,28413357.55,382382988.2
200612,83,SERFIN - FIVIDESU - INVI,COMPRA DE CARTERA,408,266,147181218.7,9247873.58
200612,84,EDIFICACION II,EDIFICACIÓN,1917,816,22080833.41,222520201.3
200612,85,REHABILITACION,REHABILITACION,17,12,305883.5984,1708255.027
200612,86,VIVIENDA EN CONJUNTO,INTEGRAL,438,201,2341734.274,10864709.59
200612,88,ADQUISICION A TERCEROS,ADQUISICIÓN,73,34,896016.4249,10708208.72
200612,89,EDIFICACION III,EDIFICACIÓN,5,1,4016.141813,694071.34
200612,AA,VIV. EN CONJ.EST. Y PROY.EDIFICACION,INTEGRAL,218,102,1329242.295,30541066.53
200612,AB,VIV. EN CONJ.ADQ. DE VIV. EN USO Y REHABILITACION,INTEGRAL,175,72,916513.7117,25107273.55
200612,AC,VIV. EN CONJ.ADQ. DE VIV.,INTEGRAL,926,472,6126877.118,83880257.93
200612,AD,VIV. EN CONJ.ADQ. DE SUELO Y EDIFICACION,INTEGRAL,548,263,2837840.334,86809213.24
200612,AE,VIV. EN CONJ.ADQ. DE SUELO Y EST. Y PROY.,INTEGRAL,435,242,3290086.747,23269829.63
200612,AF,V.C. DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,INTEGRAL,5975,2628,26971002.49,956074990.7
200612,AG,SUSTITUCION DE VIVIENDA - INVI - FICAPRO,SUSTITUCIÓN DE VIVIENDA,227,151,3054210.004,24189832.17
200612,AH,V.C. SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,INTEGRAL,1711,828,10516591.43,268834832.6
200612,AI,V.C. ADQUISICION DE SUELO,INTEGRAL,1291,436,3478659.306,62231818.64
200612,AJ,VIVIENDA NUEVA TERMINADA EDIFICACION INVI II,INTEGRAL,1132,375,4090543.616,153986783.3
200612,AK,V.C. SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,INTEGRAL,8104,3293,19474392.14,1410592471
200612,AL,SUELO CONSTRUCCION Y MEJORAMIENTO,MEJORAMIENTO,88,0,0,9551632.71
200701,51,ADQUISICION DE SUELO,SUELO,1719,1282,44690716.34,67658860.98
200701,61,ESTUDIOS Y PROYECTOS,ESTUDIOS Y PROYECTOS,65,11,1531187.821,1698534.35
200701,63,ADQUISICION DE VIVIENDA,ADQUISICIÓN,119,75,4004760.451,11486920
200701,64,VIVIENDA EN USO,VIVIENDA EN USO,73,35,1101011.408,5606207.41
200701,65,SUSTITUCION DE VIVIENDA DE ALTO RIESGO,SUSTITUCIÓN DE VIVIENDA,1343,799,26440294.17,185434785.1
200701,67,COFINANCIAMIENTO (FOSOVI),COFINANCIAMIENTO,433,318,5430050.457,5372432.71
200701,69,COFINANCIAMIENTO (COPEVI),COFINANCIAMIENTO,138,98,1510426.146,1466513.27
200701,70,COFINANCIAMIENTO (CASA Y CIUDAD),COFINANCIAMIENTO,85,68,1311094.422,1262236.048
200701,80,EDIFICACION,EDIFICACIÓN,3386,1410,29498496.44,379901160
