Cierre,Cartera,Linea,Tipo,Acreditados,TasaMorosos,Morosos,MontoMorosos,Saldo
200612,51,ADQUISICION DE SUELO,Suelo,1730,74,1288,43036547.05,67913299.66
200612,61,ESTUDIOS Y PROYECTOS,Estudios y Proyectos,65,17,11,1473658.52,1698534.35
200612,64,VIVIENDA EN USO,Vivienda en Uso,73,51,37,1067006.66,5688616.09
200612,65,SUSTITUCION DE VIVIENDA DE ALTO RIESGO,Sustitución de Vivienda,1344,59,792,25019939.91,186306880.4
200612,67,COFINANCIAMIENTO (FOSOVI),Cofinanciamiento,433,73,318,5231166.68,5378354.38
200612,69,COFINANCIAMIENTO (COPEVI),Cofinanciamiento,138,71,98,1453676.89,1469318.02
200612,70,COFINANCIAMIENTO (CASA Y CIUDAD),Cofinanciamiento,85,80,68,1261834.4,1262236.05
200612,80,EDIFICACION,Edificación,3387,43,1442,28413357.55,382382988.2
200612,83,SERFIN - FIVIDESU - INVI,Compra de cartera,408,65,266,147181218.7,9247873.58
200612,84,EDIFICACION II,Edificación,1917,43,816,22080833.41,222520201.3
200612,85,REHABILITACION,Rehabilitacion,17,71,12,305883.6,1708255.03
200612,86,VIVIENDA EN CONJUNTO,Integral,438,46,201,2341734.27,10864709.59
200612,88,ADQUISICION A TERCEROS,Adquisición de vivienda,73,47,34,896016.42,10708208.72
200612,89,EDIFICACION III,Edificación,5,20,1,4016.14,694071.34
200612,AA,VIV EN CONJEST Y PROYEDIFICACION,Integral,218,47,102,1329242.3,30541066.53
200612,AB,VIV EN CONJADQ DE VIV EN USO Y REHABILITACION,Integral,175,41,72,916513.71,25107273.55
200612,AC,VIV EN CONJADQ DE VIV,Integral,926,51,472,6126877.12,83880257.93
200612,AD,VIV EN CONJADQ DE SUELO Y EDIFICACION,Integral,548,48,263,2837840.33,86809213.24
200612,AE,VIV EN CONJADQ DE SUELO Y EST Y PROY,Integral,435,56,242,3290086.75,23269829.63
200612,AF,VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,Integral,5975,44,2628,26971002.49,956074990.7
200612,AG,SUSTITUCION DE VIVIENDA - INVI - FICAPRO,Sustitución de Vivienda,227,67,151,3054210,24189832.17
200612,AH,VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,Integral,1711,48,828,10516591.43,268834832.6
200612,AI,VC ADQUISICION DE SUELO,Integral,1291,34,436,3478659.31,62231818.64
200612,AJ,VIVIENDA NUEVA TERMINADA EDIFICACION INVI II,Integral,1132,33,375,4090543.62,153986783.3
200612,AK,VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,Integral,8104,41,3293,19474392.14,1410592471
200612,AL,SUELO CONSTRUCCION Y MEJORAMIENTO,Mejoramiento,88,0,0,0,9551632.71
200612,63,ADQUISICION DE VIVIENDA,Adquisición,119,62,74,3788650.63,11561251.24
200701,51,ADQUISICION DE SUELO,Suelo,1719,75,1282,44690716.34,67658860.98
200701,61,ESTUDIOS Y PROYECTOS,Estudios y Proyectos,65,17,11,1531187.82,1698534.35
200701,64,VIVIENDA EN USO,Vivienda en Uso,73,48,35,1101011.41,5606207.41
200701,65,SUSTITUCION DE VIVIENDA DE ALTO RIESGO,Sustitución de Vivienda,1343,59,799,26440294.17,185434785.1
200701,67,COFINANCIAMIENTO (FOSOVI),Cofinanciamiento,433,73,318,5430050.46,5372432.71
200701,69,COFINANCIAMIENTO (COPEVI),Cofinanciamiento,138,71,98,1510426.15,1466513.27
200701,70,COFINANCIAMIENTO (CASA Y CIUDAD),Cofinanciamiento,85,80,68,1311094.42,1262236.05
200701,80,EDIFICACION,Edificación,3386,42,1410,29498496.44,379901160.1
200701,83,SERFIN - FIVIDESU - INVI,Compra de cartera,407,65,265,154800748.9,9113319.98
200701,84,EDIFICACION II,Edificación,1919,43,824,23453123.41,221246042.3
200701,85,REHABILITACION,Rehabilitacion,17,76,13,333414.8,1705861.93
200701,86,VIVIENDA EN CONJUNTO,Integral,438,46,200,2424039.21,10844030.14
200701,88,ADQUISICION A TERCEROS,Adquisición de vivienda,73,45,33,951039.33,10670633.82
200701,89,EDIFICACION III,Edificación,5,20,1,4172.93,690508.51
200701,AA,VIV EN CONJEST Y PROYEDIFICACION,Integral,218,48,104,1407729.27,30406634.56
200701,AB,VIV EN CONJADQ DE VIV EN USO Y REHABILITACION,Integral,175,45,78,993800.62,25020055.95
200701,AC,VIV EN CONJADQ DE VIV,Integral,931,50,467,6506662.62,83728115.68
200701,AD,VIV EN CONJADQ DE SUELO Y EDIFICACION,Integral,548,48,264,3005086.58,86310311.83
200701,AE,VIV EN CONJADQ DE SUELO Y EST Y PROY,Integral,368,56,205,2821040.66,21040497.38
200701,AF,VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,Integral,5973,45,2698,29202295.36,953230892.6
200701,AG,SUSTITUCION DE VIVIENDA - INVI - FICAPRO,Sustitución de Vivienda,225,67,151,3232082.43,23917127.96
200701,AH,VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION,Integral,1711,48,823,11085556.41,267831281.3
200701,AI,VC ADQUISICION DE SUELO,Integral,1290,37,475,3806429.61,61764020.64
200701,AJ,VIVIENDA NUEVA TERMINADA EDIFICACION INVI II,Integral,1131,36,402,4497048.76,153340578.3
200701,AK,VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,Integral,8330,40,3316,21350929.67,1446120585
