Cierre,Date,Cartera,Close
200612,2006-12-01,AC-VIV EN CONJADQ DE VIV,6126877.12
200701,2007-01-01,AC-VIV EN CONJADQ DE VIV,6506662.62
200702,2007-02-01,AC-VIV EN CONJADQ DE VIV,6656376.27
200703,2007-03-01,AC-VIV EN CONJADQ DE VIV,6682017.5
200704,2007-04-01,AC-VIV EN CONJADQ DE VIV,6678798.51
200705,2007-05-01,AC-VIV EN CONJADQ DE VIV,6863810.71
200706,2007-06-01,AC-VIV EN CONJADQ DE VIV,6977613.67
200707,2007-07-01,AC-VIV EN CONJADQ DE VIV,7093950.7
200708,2007-08-01,AC-VIV EN CONJADQ DE VIV,7199798.37
200709,2007-09-01,AC-VIV EN CONJADQ DE VIV,7370582.17
200710,2007-10-01,AC-VIV EN CONJADQ DE VIV,7535652.48
200711,2007-11-01,AC-VIV EN CONJADQ DE VIV,7804283.49
200712,2007-12-01,AC-VIV EN CONJADQ DE VIV,7719460.46
200801,2008-01-01,AC-VIV EN CONJADQ DE VIV,8120148.25
200802,2008-02-01,AC-VIV EN CONJADQ DE VIV,8282253.9
200803,2008-03-01,AC-VIV EN CONJADQ DE VIV,8328884.89
200804,2008-04-01,AC-VIV EN CONJADQ DE VIV,8490150.65
200805,2008-05-01,AC-VIV EN CONJADQ DE VIV,8759444.2
200806,2008-06-01,AC-VIV EN CONJADQ DE VIV,8992267.47
200807,2008-07-01,AC-VIV EN CONJADQ DE VIV                              ,9244239.78
200808,2008-08-01,AC-VIV EN CONJADQ DE VIV,9545575.66
200809,2008-09-01,AC-VIV EN CONJADQ DE VIV,9863828.89
200810,2008-10-01,AC-VIV EN CONJADQ DE VIV,10193514.79
200811,2008-11-01,AC-VIV EN CONJADQ DE VIV                              ,10530677
200812,2008-12-01,AC-VIV EN CONJADQ DE VIV,10766509.14
200901,2009-01-01,AC-VIV EN CONJADQ DE VIV,11322040.03
200902,2009-02-01,AC-VIV EN CONJADQ DE VIV,10247948.15
200903,2009-03-01,AC-VIV EN CONJADQ DE VIV,11777544.52
200904,2009-04-01,AC-VIV EN CONJADQ DE VIV,12139383.41
200905,2009-05-01,AC-VIV EN CONJADQ DE VIV,12552894.69
200906,2009-06-01,AC-VIV EN CONJADQ DE VIV,12852321.54
200907,2009-07-01,AC-VIV EN CONJADQ DE VIV,13116581.18
200908,2009-08-01,AC-VIV EN CONJADQ DE VIV,13433705.81
200909,2009-09-01,AC-VIV EN CONJADQ DE VIV,13987315.22
200910,2009-10-01,AC-VIV EN CONJADQ DE VIV,14295825.77
200911,2009-11-01,AC-VIV EN CONJADQ DE VIV,14812453.07
200912,2009-12-01,AC-VIV EN CONJADQ DE VIV,14926135.42
201001,2010-01-01,AC-VIV EN CONJADQ DE VIV,15934675.77
201002,2010-02-01,AC-VIV EN CONJADQ DE VIV,16555310.1
201003,2010-03-01,AC-VIV EN CONJADQ DE VIV,16924837.35
