Cierre,Date,Cartera,Close,Saldo
200612,2006-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,26971002.49,956074990.7
200701,2007-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,29202295.36,953230892.6
200702,2007-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,30265685.14,950268782.8
200703,2007-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,31265624.01,986545746.5
200704,2007-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,32176804.54,982635717.2
200705,2007-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,33011446.51,979358528.3
200706,2007-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,33980422.15,977314328.1
200707,2007-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,34571936.5,973659943.6
200708,2007-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,35381003.98,970348920.8
200709,2007-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,36517716.6,967732139.8
200710,2007-10-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,37359531.96,969074426
200711,2007-11-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,38621519.93,965325288.7
200712,2007-12-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,38094752.81,961417118.2
200801,2008-01-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,39863222.49,957794141.1
200802,2008-02-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,40986555.87,954829001.6
200803,2008-03-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,41515076.04,989077347.7
200804,2008-04-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,42412637.12,985789175
200805,2008-05-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,43536535.17,982466673.7
200806,2008-06-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,44759852.38,979296228.1
200807,2008-07-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION    ,46205590.24,975655423.2
200808,2008-08-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,47564044.27,973012058.9
200809,2008-09-01,AF-VC DEMOLICION ESTUDIOS Y PROYECTOS Y EDIFICACION,49052230,970266822.3
