Cierre,Date,Cartera,Close,Saldo
200612,2006-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,19474392.14,1410592471
200701,2007-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,21350929.67,1446120585
200702,2007-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,22796264.16,1536260507
200703,2007-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,24077987.41,1687599906
200704,2007-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,23995702.36,1684119159
200705,2007-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,25916295.85,1697717504
200706,2007-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,27429866.51,1749095760
200707,2007-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,28495192.82,1750692532
200708,2007-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,29936044.51,1745134678
200709,2007-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,31708409.58,1756339222
200710,2007-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,33377125.01,1832428759
200711,2007-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,35306629.27,1864433127
200712,2007-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,35947894.14,1935934326
200801,2008-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,37899894.66,1916072476
200802,2008-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,39450112.37,1967219224
200803,2008-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,40821650.69,2090094019
200804,2008-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,42368344.14,2086497199
200805,2008-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,44203551.78,2113171771
200806,2008-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,46414530.42,2123272353
200807,2008-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,48343815.1,2119696825
200808,2008-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,50932571.1,2180875526
200809,2008-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,53387211.93,2200134040
200810,2008-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,55899389.11,2289612140
200811,2008-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,58730910.23,2347048393
200812,2008-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,60359462.03,2421932894
200901,2009-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,64634083.2,2401093894
200902,2009-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,61488180.84,2505434299
200903,2009-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,67881762.59,2630962155
200904,2009-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,69945065.67,2636103113
200905,2009-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,72568388.81,2671225070
200906,2009-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,74270510.4,2703695370
200907,2009-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,75923386.99,2782527770
200908,2009-08-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,77734918.3,2832713009
200909,2009-09-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,80039614.45,2911285439
200910,2009-10-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,81916303.86,2996441331
200911,2009-11-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,84249198.58,3035564830
200912,2009-12-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,85002178.08,3103640004
201001,2010-01-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,90863013.42,3100038116
201002,2010-02-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,93441358.88,3118271562
201003,2010-03-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,95948330.49,3343127982
201004,2010-04-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,99459982.94,3391769071
201005,2010-05-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,102575022.8,3446421726
201006,2010-06-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,105756412.3,3458084868
201007,2010-07-01,AK-VC SUELO ESTUDIOS Y PROYECTOS Y EDIFICACION INVI II,108770593.9,3495337749
